epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,189.11,0.57353,0.72468,1.16219,0.95278,0,0.90923,0.972,0.95648,0.80883,0.90194,0.96004,0.95211,0.83873,0.49126,0.5891,1.21251,0.95021,0,0.000665057,0.000665057,0.000665057
29,197.346,0.51849,0.68955,1.16922,0.95036,0,0.96101,0.93893,0.98635,0.87228,0.96101,0.93893,0.98635,0.87478,0.43171,0.55017,1.05084,0.92113,0,0.000636762,0.000636762,0.000636762
30,205.7,0.50451,0.69232,1.01072,0.93298,0,0.96101,0.93893,0.98635,0.87228,0.96101,0.93893,0.98635,0.87478,0.43171,0.55017,1.05084,0.92113,0,0.000608468,0.000608468,0.000608468
31,214.443,0.56548,0.70452,1.33891,0.97216,0,0.93847,0.97643,0.99191,0.8746,0.93847,0.97643,0.99191,0.87097,0.42538,0.51329,1.00426,0.92941,0,0.000580174,0.000580174,0.000580174
32,222.948,0.50689,0.7146,1.00665,0.93319,0,0.93847,0.97643,0.99191,0.8746,0.93847,0.97643,0.99191,0.87097,0.42538,0.51329,1.00426,0.92941,0,0.00055188,0.00055188,0.00055188
33,230.884,0.51306,0.66639,1.10505,0.96057,0,0.98241,0.96667,0.99264,0.88279,0.98241,0.96667,0.99264,0.8778,0.41091,0.50517,0.96458,0.90249,0,0.000523586,0.000523586,0.000523586
34,239.208,0.50703,0.66278,1.06894,0.92554,0,0.98241,0.96667,0.99264,0.88279,0.98241,0.96667,0.99264,0.8778,0.41091,0.50517,0.96458,0.90249,0,0.000495291,0.000495291,0.000495291
35,246.951,0.49411,0.66742,1.01652,0.91811,0,0.98241,0.96667,0.99264,0.88279,0.98241,0.96667,0.99264,0.8778,0.41091,0.50517,0.96458,0.90249,0,0.000466997,0.000466997,0.000466997
36,255.311,0.47546,0.62103,1.15016,0.95606,0,0.94165,0.98889,0.98407,0.88222,0.94165,0.98889,0.98461,0.88784,0.37455,0.52012,0.95615,0.8845,0,0.000438703,0.000438703,0.000438703
37,263.544,0.48734,0.71107,1.04884,0.91691,0,0.94165,0.98889,0.98407,0.88222,0.94165,0.98889,0.98461,0.88784,0.37455,0.52012,0.95615,0.8845,0,0.000410409,0.000410409,0.000410409
38,272.988,0.50137,0.70583,1.0014,0.92271,0,0.96328,1,0.99352,0.90371,0.96328,1,0.99352,0.89024,0.35206,0.51746,0.95101,0.87305,0,0.000382115,0.000382115,0.000382115
39,283.543,0.42576,0.6126,0.88748,0.88885,0,0.96328,1,0.99352,0.90371,0.96328,1,0.99352,0.89024,0.35206,0.51746,0.95101,0.87305,0,0.00035382,0.00035382,0.00035382
40,291.647,0.46278,0.6238,1.02744,0.94767,0,0.96904,0.98889,0.99323,0.91452,0.96904,0.98889,0.99323,0.89434,0.33363,0.499,0.91071,0.86165,0,0.000325526,0.000325526,0.000325526
