epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0245,0.85492,2.24959,3.39416,1.19442,0,0.00364,0.37182,0.03737,0.01867,0.00516,0.39512,0.0456,0.01731,0.45602,1.43118,3.66842,1.00217,0,0.00010003,0.00010003,0.00010003
2,23.8718,0.68526,1.71253,2.97211,1.06288,0,0.0397,0.54173,0.11921,0.08557,0.04488,0.56098,0.11793,0.07518,0.44404,1.03892,3.5625,0.94218,0,0.000210106,0.000210106,0.000210106
3,30.8412,0.57666,1.12296,2.515,0.99612,0,0.21182,0.66829,0.33538,0.24577,0.21948,0.68455,0.34432,0.25036,0.46946,0.92529,3.48385,0.93387,0,0.000315655,0.000315655,0.000315655
4,37.751,0.62872,1.12911,2.2472,0.99405,0,0.1661,0.73496,0.45196,0.32935,0.169,0.74201,0.45661,0.32529,0.49029,1.24427,3.4628,0.93961,0,0.000416676,0.000416676,0.000416676
